,코드,행정구역,산업분류,총사업체수,총종사자수,자영업자 종사자수,무급가족 종사자수,상용 종사자수,임시및일용 종사자수,기타 종사자수
2895,31010E,수원시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",80.0,1021.0,19.0,1.0,966.0,35.0,0.0
4899,31011E,장안구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",8.0,174.0,1.0,0.0,162.0,11.0,0.0
6903,31012E,권선구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",42.0,636.0,6.0,1.0,613.0,16.0,0.0
8907,31013E,팔달구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",19.0,71.0,9.0,0.0,56.0,6.0,0.0
10911,31014E,영통구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",11.0,140.0,3.0,0.0,135.0,2.0,0.0
12915,31020E,성남시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",74.0,1525.0,10.0,0.0,1448.0,64.0,3.0
14919,31021E,수정구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",17.0,322.0,2.0,0.0,312.0,8.0,0.0
16923,31022E,중원구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",40.0,944.0,7.0,0.0,879.0,55.0,3.0
18927,31023E,분당구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",17.0,259.0,1.0,0.0,257.0,1.0,0.0
20931,31030E,의정부시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",28.0,549.0,4.0,0.0,528.0,17.0,0.0
22935,31040E,안양시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",56.0,1005.0,6.0,0.0,907.0,92.0,0.0
24939,31041E,만안구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",26.0,396.0,2.0,0.0,379.0,15.0,0.0
26943,31042E,동안구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",30.0,609.0,4.0,0.0,528.0,77.0,0.0
28947,31050E,부천시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",58.0,1465.0,23.0,1.0,1116.0,324.0,1.0
30951,31060E,광명시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",32.0,427.0,7.0,1.0,375.0,44.0,0.0
32955,31070E,평택시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",138.0,1535.0,44.0,5.0,1401.0,85.0,0.0
34959,31080E,동두천시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",27.0,327.0,4.0,0.0,317.0,6.0,0.0
36963,31090E,안산시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",164.0,1880.0,55.0,6.0,1754.0,49.0,16.0
38967,31091E,상록구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",45.0,403.0,13.0,2.0,365.0,21.0,2.0
40971,31092E,단원구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",119.0,1477.0,42.0,4.0,1389.0,28.0,14.0
42975,31100E,고양시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",112.0,1800.0,42.0,2.0,1717.0,39.0,0.0
44979,31101E,덕양구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",51.0,667.0,19.0,1.0,618.0,29.0,0.0
46983,31103E,일산동구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",48.0,953.0,19.0,0.0,929.0,5.0,0.0
48987,31104E,일산서구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",13.0,180.0,4.0,1.0,170.0,5.0,0.0
50991,31110E,과천시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",14.0,334.0,0.0,0.0,334.0,0.0,0.0
52995,31120E,구리시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",21.0,297.0,3.0,0.0,248.0,46.0,0.0
54999,31130E,남양주시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",75.0,1075.0,27.0,4.0,971.0,73.0,0.0
57003,31140E,오산시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",42.0,474.0,18.0,0.0,447.0,9.0,0.0
59007,31150E,시흥시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",101.0,783.0,45.0,2.0,716.0,19.0,1.0
61011,31160E,군포시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",35.0,368.0,4.0,0.0,351.0,13.0,0.0
63015,31170E,의왕시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",26.0,238.0,7.0,0.0,152.0,79.0,0.0
65019,31180E,하남시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",30.0,332.0,11.0,2.0,292.0,27.0,0.0
67023,31190E,용인시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",104.0,1775.0,32.0,2.0,1694.0,47.0,0.0
69027,31191E,처인구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",70.0,1068.0,21.0,2.0,1000.0,45.0,0.0
71031,31192E,기흥구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",26.0,524.0,10.0,0.0,513.0,1.0,0.0
73035,31193E,수지구,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",8.0,183.0,1.0,0.0,181.0,1.0,0.0
75039,31200E,파주시,"수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",78.0,1236.0,23.0,5.0,1189.0,19.0,0.0
